,weather,scenario,status
457,cloudy-noon,ghost_cutin,Completed
458,rain-noon,ghost_cutin,Completed
459,snow-noon,ghost_cutin,Completed
460,clear-noon,ghost_cutin,Completed
461,cloudy-noon,ghost_cutin,Completed
462,rain-noon,ghost_cutin,Completed
463,snow-noon,ghost_cutin,Completed
464,clear-noon,ghost_cutin,Completed
465,cloudy-noon,ghost_cutin,Completed
466,rain-noon,ghost_cutin,Completed
467,snow-noon,ghost_cutin,Completed
468,clear-noon,ghost_cutin,Completed
469,cloudy-noon,ghost_cutin,Completed
470,rain-noon,ghost_cutin,Completed
471,snow-noon,ghost_cutin,Completed
472,clear-noon,ghost_cutin,Completed
473,cloudy-noon,ghost_cutin,Completed
474,rain-noon,ghost_cutin,Completed
475,snow-noon,ghost_cutin,Failed -- Accident
476,clear-noon,ghost_cutin,Completed
477,cloudy-noon,ghost_cutin,Completed
478,rain-noon,ghost_cutin,Completed
479,snow-noon,ghost_cutin,Completed
480,clear-noon,ghost_cutin,Completed
481,cloudy-noon,ghost_cutin,Completed
482,rain-noon,ghost_cutin,Completed
483,snow-noon,ghost_cutin,Completed
484,clear-noon,ghost_cutin,Completed
485,cloudy-noon,ghost_cutin,Completed
486,rain-noon,ghost_cutin,Failed -- Accident
487,snow-noon,ghost_cutin,Completed
488,clear-noon,ghost_cutin,Completed
489,cloudy-noon,ghost_cutin,Completed
490,rain-noon,ghost_cutin,Completed
491,snow-noon,ghost_cutin,Completed
492,clear-noon,ghost_cutin,Completed
493,cloudy-noon,ghost_cutin,Completed
494,rain-noon,ghost_cutin,Completed
495,snow-noon,ghost_cutin,Completed
496,clear-noon,ghost_cutin,Completed
497,cloudy-noon,ghost_cutin,Completed
498,rain-noon,ghost_cutin,Completed
499,snow-noon,ghost_cutin,Completed
500,clear-noon,ghost_cutin,Completed
501,cloudy-noon,ghost_cutin,Completed
502,rain-noon,ghost_cutin,Completed
503,snow-noon,ghost_cutin,Completed
504,clear-noon,ghost_cutin,Completed
505,cloudy-noon,ghost_cutin,Completed
506,rain-noon,ghost_cutin,Completed
507,snow-noon,ghost_cutin,Failed -- Accident
508,clear-noon,ghost_cutin,Completed
509,cloudy-noon,ghost_cutin,Completed
510,rain-noon,ghost_cutin,Completed
511,snow-noon,ghost_cutin,Completed
512,clear-noon,ghost_cutin,Completed
513,cloudy-noon,ghost_cutin,Completed
514,rain-noon,ghost_cutin,Completed
515,snow-noon,ghost_cutin,Completed
516,clear-noon,ghost_cutin,Completed
517,cloudy-noon,ghost_cutin,Failed -- Simulator crashed
518,rain-noon,ghost_cutin,Failed -- Accident
519,snow-noon,ghost_cutin,Failed -- Accident
520,clear-noon,ghost_cutin,Completed
521,cloudy-noon,ghost_cutin,Completed
522,rain-noon,ghost_cutin,Completed
523,snow-noon,ghost_cutin,Completed
524,clear-noon,ghost_cutin,Failed -- Simulator crashed
525,cloudy-noon,ghost_cutin,Completed
526,rain-noon,ghost_cutin,Completed
527,snow-noon,ghost_cutin,Completed
528,clear-noon,ghost_cutin,Completed
529,cloudy-noon,ghost_cutin,Completed
530,rain-noon,ghost_cutin,Failed -- Accident
531,snow-noon,ghost_cutin,Failed -- Accident
532,clear-noon,ghost_cutin,Completed
533,cloudy-noon,ghost_cutin,Completed
534,rain-noon,ghost_cutin,Completed
535,snow-noon,ghost_cutin,Completed
536,clear-noon,ghost_cutin,Completed
537,cloudy-noon,ghost_cutin,Completed
538,rain-noon,ghost_cutin,Completed
539,snow-noon,ghost_cutin,Completed
540,clear-noon,ghost_cutin,Completed
541,cloudy-noon,ghost_cutin,Completed
542,rain-noon,ghost_cutin,Failed -- Accident
543,snow-noon,ghost_cutin,Failed -- Accident
544,clear-noon,ghost_cutin,Completed
545,cloudy-noon,ghost_cutin,Completed
546,rain-noon,ghost_cutin,Failed -- Accident
547,snow-noon,ghost_cutin,Completed
548,clear-noon,ghost_cutin,Completed
549,cloudy-noon,ghost_cutin,Completed
550,rain-noon,ghost_cutin,Completed
551,snow-noon,ghost_cutin,Completed
552,clear-noon,ghost_cutin,Completed
553,cloudy-noon,ghost_cutin,Completed
554,rain-noon,ghost_cutin,Completed
555,snow-noon,ghost_cutin,Completed
556,clear-noon,ghost_cutin,Completed
557,cloudy-noon,ghost_cutin,Completed
558,rain-noon,ghost_cutin,Completed
559,snow-noon,ghost_cutin,Completed
560,clear-noon,ghost_cutin,Completed
561,cloudy-noon,ghost_cutin,Completed
562,rain-noon,ghost_cutin,Completed
563,snow-noon,ghost_cutin,Completed
564,clear-noon,ghost_cutin,Completed
565,cloudy-noon,ghost_cutin,Completed
566,rain-noon,ghost_cutin,Completed
567,snow-noon,ghost_cutin,Failed -- Accident
568,clear-noon,ghost_cutin,Completed
569,cloudy-noon,ghost_cutin,Completed
570,rain-noon,ghost_cutin,Completed
571,snow-noon,ghost_cutin,Completed
572,clear-noon,ghost_cutin,Completed
573,cloudy-noon,ghost_cutin,Completed
574,rain-noon,ghost_cutin,Failed -- Accident
575,snow-noon,ghost_cutin,Completed
576,clear-noon,ghost_cutin,Completed
577,cloudy-noon,ghost_cutin,Completed
578,rain-noon,ghost_cutin,Completed
579,snow-noon,ghost_cutin,Completed
580,clear-noon,ghost_cutin,Completed
581,cloudy-noon,ghost_cutin,Completed
582,rain-noon,ghost_cutin,Failed -- Accident
583,snow-noon,ghost_cutin,Completed
584,clear-noon,ghost_cutin,Completed
585,cloudy-noon,ghost_cutin,Completed
586,rain-noon,ghost_cutin,Completed
587,snow-noon,ghost_cutin,Completed
588,clear-noon,ghost_cutin,Completed
589,cloudy-noon,ghost_cutin,Completed
590,rain-noon,ghost_cutin,Completed
591,snow-noon,ghost_cutin,Completed
592,clear-noon,ghost_cutin,Completed
593,cloudy-noon,ghost_cutin,Completed
594,rain-noon,ghost_cutin,Failed -- Accident
595,snow-noon,ghost_cutin,Completed
596,clear-noon,ghost_cutin,Completed
597,cloudy-noon,ghost_cutin,Completed
598,rain-noon,ghost_cutin,Completed
599,snow-noon,ghost_cutin,Completed
600,clear-noon,ghost_cutin,Completed
601,cloudy-noon,ghost_cutin,Completed
602,rain-noon,ghost_cutin,Completed
603,snow-noon,ghost_cutin,Completed
604,clear-noon,ghost_cutin,Completed
605,cloudy-noon,ghost_cutin,Completed
606,rain-noon,ghost_cutin,Completed
607,snow-noon,ghost_cutin,Completed
608,clear-noon,ghost_cutin,Completed
609,cloudy-noon,ghost_cutin,Completed
610,rain-noon,ghost_cutin,Completed
611,snow-noon,ghost_cutin,Completed
612,clear-noon,ghost_cutin,Completed
613,cloudy-noon,ghost_cutin,Completed
614,rain-noon,ghost_cutin,Completed
615,snow-noon,ghost_cutin,Completed
616,clear-noon,ghost_cutin,Completed
617,cloudy-noon,ghost_cutin,Completed
618,rain-noon,ghost_cutin,Completed
619,snow-noon,ghost_cutin,Completed
620,clear-noon,ghost_cutin,Completed
621,cloudy-noon,ghost_cutin,Completed
622,rain-noon,ghost_cutin,Completed
623,snow-noon,ghost_cutin,Completed
624,clear-noon,ghost_cutin,Completed
625,cloudy-noon,ghost_cutin,Completed
626,rain-noon,ghost_cutin,Completed
627,snow-noon,ghost_cutin,Completed
628,clear-noon,ghost_cutin,Completed
629,cloudy-noon,ghost_cutin,Completed
630,rain-noon,ghost_cutin,Completed
631,snow-noon,ghost_cutin,Failed -- Accident
632,clear-noon,ghost_cutin,Completed
633,cloudy-noon,ghost_cutin,Completed
634,rain-noon,ghost_cutin,Completed
635,snow-noon,ghost_cutin,Failed -- Accident
636,clear-noon,ghost_cutin,Completed
637,cloudy-noon,ghost_cutin,Completed
638,rain-noon,ghost_cutin,Completed
639,snow-noon,ghost_cutin,Failed -- Accident
640,clear-noon,ghost_cutin,Completed
641,cloudy-noon,ghost_cutin,Completed
642,rain-noon,ghost_cutin,Completed
643,snow-noon,ghost_cutin,Completed
644,clear-noon,ghost_cutin,Completed
645,cloudy-noon,ghost_cutin,Completed
646,rain-noon,ghost_cutin,Completed
647,snow-noon,ghost_cutin,Completed
648,clear-noon,ghost_cutin,Completed
649,cloudy-noon,ghost_cutin,Completed
650,rain-noon,ghost_cutin,Completed
651,snow-noon,ghost_cutin,Completed
652,clear-noon,ghost_cutin,Completed
653,cloudy-noon,ghost_cutin,Completed
654,rain-noon,ghost_cutin,Failed -- Accident
655,snow-noon,ghost_cutin,Completed
656,clear-noon,ghost_cutin,Completed
657,cloudy-noon,ghost_cutin,Completed
658,rain-noon,ghost_cutin,Completed
659,snow-noon,ghost_cutin,Completed
660,clear-noon,ghost_cutin,Completed
661,cloudy-noon,ghost_cutin,Completed
662,rain-noon,ghost_cutin,Completed
